State,race,tot_pop,tot_cit,tot_reg,pct_reg_tot,me_pct_reg_tot,pct_reg_cit,me_pct_reg_cit,tot_vote,pct_vote_tot,me_pct_vote_tot,pct_vote_cit,me_pct_vote_cit,year
US,Total,239874,219941,142166,59.3,0.3,64.6,0.3,92251,38.5,0.3,41.9,0.3,2014
US,Male,115637,105299,66147,57.2,0.4,62.8,0.4,43009,37.2,0.4,40.8,0.4,2014
US,Female,124237,114642,76019,61.2,0.4,66.3,0.4,49243,39.6,0.4,43,0.4,2014
US,White alone,189331,175909,115998,61.3,0.3,65.9,0.3,76366,40.3,0.3,43.4,0.3,2014
US,White non-Hispanic alone,156438,153750,104664,66.9,0.3,68.1,0.3,70351,45,0.4,45.8,0.4,2014
US,Black alone,29668,27908,17700,59.7,1,63.4,1,11078,37.3,1,39.7,1,2014
US,Asian alone,13495,9504,4642,34.4,1.5,48.8,1.8,2575,19.1,1.2,27.1,1.6,2014
US,Hispanic (of any race),36802,25092,12862,34.9,1.1,51.3,1.4,6775,18.4,0.9,27,1.2,2014
US,White alone or in combination,192804,179103,117978,61.2,0.3,65.9,0.3,77472,40.2,0.3,43.3,0.3,2014
US,Black alone or in combination,31078,29222,18422,59.3,0.9,63,1,11469,36.9,0.9,39.2,1,2014
US,Asian alone or in combination,14367,10332,5166,36,1.4,50,1.7,2883,20.1,1.2,27.9,1.6,2014
ALABAMA,Total,3656,3519,2366,64.7,2.4,67.2,2.4,1497,40.9,2.4,42.5,2.5,2014
ALABAMA,Male,1734,1642,1063,61.3,3.5,64.7,3.5,677,39,3.5,41.2,3.6,2014
ALABAMA,Female,1922,1877,1303,67.8,3.2,69.4,3.2,820,42.6,3.4,43.7,3.4,2014
ALABAMA,White alone,2586,2503,1700,65.8,2.8,67.9,2.8,1045,40.4,2.9,41.8,2.9,2014
ALABAMA,White non-Hispanic alone,2478,2473,1686,68,2.8,68.2,2.8,1045,42.2,3,42.3,3,2014
ALABAMA,Black alone,922,910,596,64.6,5.7,65.4,5.7,414,44.9,5.9,45.5,6,2014
ALABAMA,Asian alone,51,23,17,NA,NA,NA,NA,9,NA,NA,NA,NA,2014
